Bird_ID,Tagged_By,Recovery_Time_days,Observation_Counts
B1001,Researcher_C,118,61
B1004,Researcher_B,73,67
B1006,Researcher_B,91,17
B1009,Researcher_B,47,24
B1010,Researcher_B,91,43
B1011,Researcher_A,76,65
B1014,Researcher_C,23,61
B1015,Researcher_A,57,55
B1017,Researcher_B,74,42
B1018,Researcher_B,84,11
B1019,Researcher_C,39,75
B1020,Researcher_B,78,25
B1023,Researcher_C,61,10
B1025,Researcher_A,67,41
B1026,Researcher_B,79,85
B1030,Researcher_A,30,46
B1031,Researcher_A,4,64
B1032,Researcher_B,77,95
B1035,Researcher_A,69,54
B1037,Researcher_B,16,46
B1038,Researcher_A,32,74
B1039,Researcher_A,71,7
B1043,Researcher_C,39,12
B1044,Researcher_C,54,56
B1045,Researcher_B,109,59
B1047,Researcher_B,7,65
B1048,Researcher_A,44,63
B1053,Researcher_A,102,47
B1054,Researcher_C,73,30
B1057,Researcher_B,9,72
B1058,Researcher_C,31,81
B1059,Researcher_C,65,73
B1064,Researcher_C,36,87
B1066,Researcher_A,11,36
B1067,Researcher_C,85,74
B1070,Researcher_B,104,70
B1071,Researcher_A,39,4
B1073,Researcher_A,26,2
B1075,Researcher_C,14,50
B1077,Researcher_C,9,24
B1081,Researcher_C,67,96
B1083,Researcher_C,109,85
B1084,Researcher_C,59,70
B1085,Researcher_A,110,40
B1086,Researcher_A,26,66
B1087,Researcher_A,7,81
B1088,Researcher_A,103,96
B1089,Researcher_A,50,76
B1091,Researcher_C,11,67
B1092,Researcher_B,30,16
B1094,Researcher_A,27,28
B1095,Researcher_A,53,69
B1096,Researcher_A,70,44
B1099,Researcher_A,85,27
B1101,Researcher_B,94,38
B1102,Researcher_B,28,87
B1107,Researcher_A,62,33
B1108,Researcher_A,119,24
B1110,Researcher_A,26,1
B1111,Researcher_B,73,68
B1112,Researcher_C,79,82
B1115,Researcher_C,77,48
B1117,Researcher_C,1,67
B1118,Researcher_A,99,31
B1119,Researcher_C,103,10
B1121,Researcher_C,38,99
B1122,Researcher_C,16,67
B1123,Researcher_A,12,35
B1128,Researcher_C,52,24
B1129,Researcher_A,115,59
B1130,Researcher_A,101,31
B1131,Researcher_B,117,92
B1132,Researcher_C,45,74
B1133,Researcher_A,59,30
B1134,Researcher_A,56,68
B1135,Researcher_A,6,85
B1139,Researcher_C,41,78
B1140,Researcher_C,48,57
B1143,Researcher_A,118,55
B1145,Researcher_A,40,25
B1148,Researcher_B,25,68
B1149,Researcher_C,115,72
B1150,Researcher_C,80,78
B1153,Researcher_B,68,43
B1154,Researcher_B,94,63
B1155,Researcher_A,113,40
B1156,Researcher_B,103,27
B1158,Researcher_C,92,62
B1164,Researcher_B,88,56
B1165,Researcher_B,5,56
B1167,Researcher_B,91,14
B1168,Researcher_B,41,79
B1169,Researcher_B,88,46
B1176,Researcher_C,60,23
B1177,Researcher_B,34,14
B1178,Researcher_A,64,51
B1179,Researcher_B,28,52
B1180,Researcher_A,77,12
B1181,Researcher_C,86,71
B1182,Researcher_B,96,85
B1183,Researcher_C,80,49
B1187,Researcher_A,101,7
B1194,Researcher_B,47,24
B1196,Researcher_C,107,57
B1197,Researcher_A,98,76
B1198,Researcher_A,27,92
B1199,Researcher_B,48,69
B1201,Researcher_B,94,4
B1202,Researcher_C,5,50
B1203,Researcher_B,40,71
B1204,Researcher_B,15,56
B1205,Researcher_B,114,40
B1209,Researcher_C,65,12
B1213,Researcher_C,84,83
B1214,Researcher_C,1,99
B1215,Researcher_B,116,71
B1219,Researcher_C,119,20
B1220,Researcher_A,32,55
B1221,Researcher_C,18,21
B1222,Researcher_A,73,73
B1223,Researcher_C,21,8
B1224,Researcher_A,92,54
B1226,Researcher_A,90,31
B1229,Researcher_A,118,94
B1233,Researcher_B,33,98
B1235,Researcher_A,78,79
B1239,Researcher_B,47,7
B1240,Researcher_B,95,73
B1241,Researcher_C,119,30
B1242,Researcher_B,107,61
B1246,Researcher_A,10,57
B1247,Researcher_A,12,13
B1249,Researcher_A,46,95
B1251,Researcher_C,36,35
B1252,Researcher_A,107,1
B1253,Researcher_A,54,66
B1257,Researcher_A,31,60
B1263,Researcher_A,12,58
B1264,Researcher_A,116,56
B1265,Researcher_B,98,7
B1266,Researcher_C,73,40
B1273,Researcher_B,8,6
B1277,Researcher_B,96,96
B1278,Researcher_B,72,81
B1279,Researcher_B,48,57
B1280,Researcher_C,63,29
B1283,Researcher_C,36,42
B1285,Researcher_A,100,56
B1286,Researcher_C,39,76
B1287,Researcher_A,65,68
B1288,Researcher_C,119,5
B1289,Researcher_B,9,15
B1291,Researcher_C,69,30
B1292,Researcher_A,12,99
B1294,Researcher_A,105,10
B1296,Researcher_A,72,59
B1297,Researcher_B,80,69
B1303,Researcher_C,14,72
B1311,Researcher_A,104,95
B1313,Researcher_A,107,29
B1315,Researcher_C,97,97
B1319,Researcher_B,44,31
B1320,Researcher_B,37,52
B1322,Researcher_A,41,15
B1323,Researcher_B,102,57
B1324,Researcher_B,99,20
B1326,Researcher_A,6,34
B1327,Researcher_B,19,4
B1329,Researcher_C,15,69
B1331,Researcher_C,21,27
B1332,Researcher_A,17,9
B1334,Researcher_C,75,93
B1338,Researcher_B,42,99
B1340,Researcher_A,11,5
B1341,Researcher_C,52,27
B1344,Researcher_B,37,2
B1345,Researcher_B,97,57
B1347,Researcher_B,32,45
B1348,Researcher_A,93,73
B1349,Researcher_C,86,52
B1350,Researcher_C,100,97
B1351,Researcher_B,53,54
B1352,Researcher_B,61,56
B1354,Researcher_A,4,13
B1355,Researcher_C,18,45
B1357,Researcher_B,28,55
B1358,Researcher_B,28,96
B1359,Researcher_C,11,25
B1361,Researcher_B,21,98
B1363,Researcher_A,89,47
